"filename", "language", "JSON", "TypeScript", "HTML", "JSON with Comments", "JavaScript", "Markdown", "YAML", "SCSS", "Diff", "comment", "blank", "total"
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\dom.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 0, 19, 28, 203
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\executor.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\math.ts", "TypeScript", 0, 267, 0, 0, 0, 0, 0, 0, 0, 62, 66, 395
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\objects.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\rfdc.js", "JavaScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 5, 80
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\scripts\utilities\string.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\editor.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 154, 0, 27, 49, 230
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\generic\button.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 32, 0, 1, 5, 38
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\generic\checkbox.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 91, 0, 3, 17, 111
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 125, 0, 13, 33, 171
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\action.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 273, 0, 15, 63, 351
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\data\array.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 11, 56
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\data\data.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 32, 0, 2, 8, 42
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\data\identifier.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 1, 6, 32
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\data\literal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 9, 40
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\query.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\representation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 32, 0, 2, 5, 39
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\timeline.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 66, 0, 8, 15, 89
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\trail.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 7, 44
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 94, 0, 11, 22, 127
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\renderer\visualization.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 78, 0, 13, 15, 106
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\themes\coffee.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 3, 2, 17
"c:\Users\Dev - Research\Documents\Programming\glassbug-ts - Copy\src\styles\themes\dark.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 10, 0, 3, 2, 15
